Name,Nation,Team,Position,Age,Born,Matches,Starts,Minutes,90s,G+A,non_penalty_goals,penalty_goals,yellow_cards,red_cards,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,per90_Gls,per90_Ast,per90_G+A,per90_G-PK,per90_G+A-PK,per90_xG,per90_xAG,per90_xG+xAG,per90_npxG,per90_npxG+xAG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKSV,PKm,PK_Save%,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att(GK),Thr,Launch%,Pass_AvgLen,GK_AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,xG_Shooting,npxG_Shooting,npxG/Sh,G-xG,np:G-xG,Pass_Cmp,Pass_Att,Pass_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xAG,KP,1/3,PPA,CrsPA,Pass_Live,Pass_Dead,Pass_FK,Pass_TB,Pass_Sw,Pass_Crs,Pass_TI,Pass_CK,Corner_In,Corner_Out,Corner_Str,Pass_Cmp_Outcome,Pass_Off,Pass_Blocks,SCA,SCA90,SCA_type_PassLive,SCA_type_PassDead,SCA_type_TO,SCA_type_Sh,SCA_type_Fld,SCA_type_Def,GCA,GCA90,GCA_type_PassLive,GCA_type_PassDead,GCA_type_TO,GCA_type_Sh,GCA_type_Fld,GCA_type_Def,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks,Blocks_Sh,Blocks_Pass,Blocks_Int,Blocks_Tkl+Int,Blocks_Clr,Blocks_Err,Touches,Def_Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,PKwon,PKcon,Recov,Won,Lost,Won%,GK_Save%,Minutes_num
Joshua Acheampong,eng ENG,Chelsea,DF,18,2006,4,2,170,1.9,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,2,0,0.0,1.06,0.00,0.00,N/A,8.9,0,0.2,0.2,0.11,-0.2,-0.2,104,124,83.9,709,409,29,32,90.6,63,68,92.6,11,20,55.0,0,0.0,0.0,0,2,0,0,121,3,2,0,0,0,1,0,0,0,0,104,0,2,2,1.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,1,48,81,8,2,2,100.0,0,1,0,1,1,3,2,0,137,7,3,137,1,50.0,0,0.0,106,0,2,0,N/A,43,5.0,80,1,2,5,19,2.00,2,3,-1,-0.53,+0.29,3.6,2.1,+1.5,+0.82,1,0,0,0,1,0,0,1,0,0,7,1,6,14.3,,170.0
Tyler Adams,us USA,Bournemouth,MF,25,1999,28,21,"1,965",21.8,3,0,0,7,0,1.6,1.6,1.0,2.6,14,76,10,0.00,0.14,0.14,0.00,0.14,0.07,0.05,0.12,0.07,0.12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,9,2,22.2,0.41,0.09,0.00,0.00,16.9,0,1.6,1.6,0.18,-1.6,-1.6,902,1069,84.4,3337,1447,437,489,89.4,393,443,88.7,38,65,58.5,3,0.8,+2.0,18,22,4,1,1025,38,34,2,1,3,4,0,0,0,0,902,6,14,41,1.88,35,0,0,1,1,4,4,0.18,3,0,0,0,0,1,83,50,349,779,224,39,72,54.2,33,33,10,23,32,115,42,0,1337,62,18,1337,4,22.2,10,55.6,663,1,28,12,N/A,70,57.5,85,15,7,26,1,1.46,41,30,+11,+0.50,-0.25,35.5,28.9,+6.6,+0.30,7,0,0,45,21,0,3,32,0,1,114,31,18,63.3,,1965.0
Tosin Adarabioyo,eng ENG,Chelsea,DF,26,1997,22,15,"1,409",15.7,2,1,0,4,0,0.9,0.9,0.2,1.2,5,42,1,0.06,0.06,0.13,0.06,0.13,0.06,0.01,0.07,0.06,0.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,13,2,15.4,0.83,0.13,0.08,0.50,12.5,0,0.9,0.9,0.07,+0.1,+0.1,1079,1184,91.1,3207,1809,406,425,95.5,603,636,94.8,66,109,60.6,1,0.2,+0.8,1,2,1,0,1142,39,23,2,3,0,4,0,0,0,0,1079,3,3,15,0.96,8,0,0,6,0,1,1,0.06,0,0,0,1,0,0,17,13,630,674,27,8,12,66.7,4,9,7,2,11,28,80,0,1330,175,14,1330,4,66.7,1,16.7,777,0,4,0,N/A,64,41.2,84,13,7,20,16,1.86,28,14,+14,+0.89,+0.34,30.8,19.3,+11.5,+0.74,4,0,0,8,9,1,0,11,0,0,41,42,28,60.0,,1409.0
Simon Adingra,ci CIV,Brighton,"FW,MF",22,2002,29,12,"1,097",12.2,4,2,0,0,0,2.5,2.5,2.5,4.9,50,18,136,0.16,0.16,0.33,0.16,0.33,0.20,0.20,0.40,0.20,0.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,33,8,24.2,2.71,0.66,0.06,0.25,17.0,0,2.5,2.5,0.07,-0.5,-0.5,290,382,75.9,2514,1300,187,217,86.2,81,109,74.3,16,29,55.2,2,2.8,-0.5,16,21,17,6,372,9,0,2,0,41,8,1,0,0,0,290,1,12,47,3.86,33,0,6,8,0,0,7,0.57,5,0,1,1,0,0,23,14,66,174,315,10,26,38.5,16,12,0,12,8,31,6,2,548,10,76,548,21,42.0,27,54.0,366,27,39,12,N/A,38,32.1,66,1,17,18,6,1.59,18,23,-5,-0.41,-0.27,18.2,19.0,-0.9,-0.07,0,0,0,13,4,4,41,8,0,0,47,7,4,63.6,,1097.0
Emmanuel Agbadou,ci CIV,Wolves,DF,27,1997,16,16,"1,410",15.7,1,1,0,3,0,0.8,0.8,0.2,1.1,6,31,2,0.06,0.00,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,1,N/A,0,N/A,N/A,N/A,N/A,N/A,13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,7,2,28.6,0.45,0.13,0.14,0.50,27.6,0,0.8,0.8,0.12,+0.2,+0.2,855,1001,85.4,3670,1752,276,299,92.3,466,501,93.0,107,181,59.1,0,0.3,-0.2,4,4,1,0,955,43,28,1,11,2,0,0,0,0,0,855,3,5,17,1.09,15,2,0,0,0,0,3,0.19,2,1,0,0,0,0,30,19,649,504,28,13,20,65.0,7,19,13,6,12,42,90,0,1172,190,7,1172,10,76.9,2,15.4,758,0,6,4,N/A,88,41.2,88,15,0,N/A,0,1.44,20,22,-2,-0.13,+0.25,19.1,22.8,-3.6,-0.23,3,0,0,7,4,1,2,12,0,0,83,26,20,56.5,,1410.0
Ola Aina,ng NGA,Nott'ham Forest,DF,27,1996,35,35,"2,995",33.3,3,2,0,5,0,0.6,0.6,1.4,2.1,67,107,67,0.06,0.03,0.09,0.06,0.09,0.02,0.04,0.06,0.02,0.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,11,2,18.2,0.33,0.06,0.18,1.00,26.1,0,0.6,0.6,0.06,+1.4,+1.4,994,1352,73.5,4798,2787,530,598,88.6,374,502,74.5,57,166,34.3,1,2.2,-0.4,16,46,23,11,1071,279,15,0,4,59,264,0,0,0,0,994,2,46,62,1.86,49,5,3,1,3,1,4,0.12,3,0,0,0,0,1,55,42,613,717,409,36,64,56.3,28,34,12,22,33,88,115,4,1708,156,22,1708,33,45.8,27,37.5,749,10,44,22,N/A,86,87.6,86,28,0,N/A,0,1.77,55,39,+16,+0.48,+1.18,41.2,39.4,+1.9,+0.06,5,0,0,23,35,2,59,33,0,1,190,13,19,40.6,,2995.0
Rayan Aït-Nouri,dz ALG,Wolves,DF,23,2001,37,37,"3,109",34.5,11,4,0,7,1,2.7,2.7,5.5,8.2,89,108,176,0.12,0.20,0.32,0.12,0.32,0.08,0.16,0.24,0.08,0.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,36,10,27.8,1.04,0.29,0.11,0.40,14.9,0,2.7,2.7,0.08,+1.3,+1.3,1449,1721,84.2,6166,3205,897,959,93.5,435,499,87.2,48,118,40.7,7,4.0,+1.5,46,62,30,10,1397,320,44,3,4,94,246,30,24,1,0,1449,4,42,91,2.63,56,15,8,7,4,1,12,0.35,10,1,0,0,0,1,89,57,577,916,685,43,70,61.4,27,42,6,36,26,115,75,2,2148,96,96,2148,63,46.0,56,40.9,1129,28,52,47,N/A,84,90.9,84,18,0,N/A,0,1.05,46,67,-21,-0.61,-0.25,38.7,52.6,-13.9,-0.40,7,1,1,30,46,6,94,26,0,0,145,22,30,42.3,,3109.0
Kristoffer Ajer,no NOR,Brentford,DF,26,1998,24,17,"1,438",16.0,0,0,0,5,0,1.0,1.0,1.2,2.2,27,56,44,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,9,3,33.3,0.56,0.19,0.00,0.00,9.5,0,1.0,1.0,0.11,-1.0,-1.0,504,644,78.3,2098,1180,260,299,87.0,199,248,80.2,27,54,50.0,0,0.5,-1.2,8,11,7,4,570,73,2,0,3,14,71,0,0,0,0,504,1,18,18,1.13,15,0,1,2,0,0,2,0.13,2,0,0,0,0,0,26,18,265,368,168,14,27,51.9,13,17,4,13,12,38,50,0,795,53,38,795,7,43.8,8,50.0,387,2,15,12,N/A,60,42.0,79,5,7,14,2,1.33,20,25,-5,-0.31,-0.23,20.8,21.5,-0.7,-0.04,5,0,0,13,6,2,14,12,0,0,42,27,23,54.0,,1438.0
Manuel Akanji,ch SUI,Manchester City,DF,29,1995,26,23,"2,014",22.4,0,0,0,3,0,1.6,1.6,0.4,1.9,46,158,7,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,15,2,13.3,0.67,0.09,0.00,0.00,14.7,0,1.6,1.6,0.10,-1.6,-1.6,1632,1744,93.6,6953,4234,776,812,95.6,757,795,95.2,84,113,74.3,0,1.3,-0.4,9,64,11,2,1707,36,18,4,10,11,10,0,0,0,0,1632,1,6,37,1.65,37,0,0,0,0,0,3,0.13,3,0,0,0,0,0,19,12,559,920,405,11,17,64.7,6,11,8,3,9,28,64,3,1881,119,19,1881,2,100.0,0,0.0,1254,0,5,5,N/A,77,58.9,86,20,3,12,2,2.04,46,28,+18,+0.80,+0.28,43.7,29.1,+14.6,+0.65,3,0,0,17,9,0,11,9,0,0,103,30,33,47.6,,2014.0
Nathan Aké,nl NED,Manchester City,DF,29,1995,10,8,678,7.5,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,3,0,0.0,0.40,0.00,0.00,N/A,10.0,0,0.2,0.2,0.07,-0.2,-0.2,509,542,93.9,2244,1501,248,253,98.0,237,244,97.1,20,34,58.8,0,0.2,0.0,1,12,1,0,514,26,13,0,0,1,7,0,0,0,0,509,2,3,8,1.06,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,9,7,205,331,61,4,6,66.7,2,7,2,5,3,12,22,1,596,51,5,596,1,100.0,0,0.0,403,1,4,3,N/A,68,19.8,79,2,2,24,9,1.40,11,11,0,0.00,-0.82,12.6,13.5,-0.9,-0.12,0,0,0,2,0,0,1,3,0,0,24,13,10,56.5,,678.0
