,Name,Old_team,New_team,Price
0,Noah Sadiki,Union SG,Sunderland,17M
1,Levi Laing,West Ham,Aldershot Town,Free
2,Jewison Bennette,Sunderland,LNZ Cherkasy,0.5M
3,Mario Lemina,Wolves,Galatasaray,2.5M
4,Stefanos Tzimas,Nurnberg,Brighton,26.5M
5,Nico González,Porto,Man City,60M
6,Marshall Munetsi,Reims,Wolves,18M
7,Eli Kroupi,Lorient,B'mouth,13M
8,Ruairi McConville,Brighton,Norwich,3M
9,Jaydon Banel,Ajax,Burnley,1M
10,Nasser Djiga,Crvena Zvezda,Wolves,12M
11,Luca Furnell-Gill,Liverpool,Tottenham,Free
12,Mathis Amougou,Saint-Etienne,Chelsea,15M
13,Casper Nilsson,Brighton,Ängelholms FF,Free
14,Patrick Dorgu,Lecce,Man Utd,30M
15,Cesare Casadei,Chelsea,Torino,13M
16,Wilson Isidor,Zenit,Sunderland,6M
17,Ayden Heaven,Arsenal,Man Utd,1.8M
18,Jhon Durán,Aston Villa,Al-Nassr,77M
19,Miguel Almirón,Newcastle,Atlanta United,9.6M
20,Luke Cundle,Wolves,Millwall,1.2M
21,Eiran Cashin,Derby,Brighton,10.8M
22,Christian McFarlane,New York City,Man City,Free
23,Juma Bah,Real Valladolid,Man City,6M
24,Tyler Roberts,Wolves,AFC Fylde,Free
25,Omar Marmoush,E. Frankfurt,Man City,75M
26,Diego Carlos,Aston Villa,Fenerbahce,11.5M
27,Andrés García,Levante,Aston Villa,7M
28,Vitor Reis,Palmeiras,Man City,37M
29,Abdukodir Khusanov,Lens,Man City,40M
30,Jakub Moder,Brighton,Feyenoord,1.5M
31,Romain Esse,Millwall,C. Palace,14.2M
32,Owen Farmer,Wolves,Leamington FC,Free
33,Jaden Philogene,Aston Villa,Ipswich Town,23.7M
34,Donyell Malen,Dortmund,Aston Villa,25M
35,Charlie Whitaker,Everton,Notts County,Free
36,Emmanuel Agbadou,Reims,Wolves,20M
37,Julio Soler,Lanus,B'mouth,8M
38,Marcelo Pitaluga,Liverpool,Fluminense,Free
39,Jonjo Shelvey,Eyupspor,Burnley,Free
40,Antonín Kinský,Slavia Praha,Tottenham,16.5M
41,Matai Akinmboni,DC,B'mouth,1.5M
42,Ashley Barnes,Norwich,Burnley,Free
43,Oliver Sonne,Silkeborg,Burnley,3M
44,Diego Gómez,Inter Miami,Brighton,13M
45,Giulio Marroni,C. Palace,Olbia,Free
46,Kam Kandola,Wolves,Kidderminster Harriers,Free
47,Ethan McLeod,Wolves,Rushall Olympic,Free
48,Mason Rees,Wolves,Rushall Olympic,Free
49,Coby Small,Arsenal,B'mouth,Free
50,Teodor Minchev,Swansea,B'mouth,Free
51,Joel Thompson,Nottingham,Colchester,Free
52,Vincent Angelini,Brentford,Al-Riyadh SC,Free
53,Daniel Podence,Wolves,Al Shabab,5M
54,Ângelo,Chelsea,Al-Nassr,23M
55,Terence Kongolo,Fulham,NAC Breda,Free
56,Ahmed Abdullahi,Gent,Sunderland,1.5M
57,Ivan Toney,Brentford,Al Ahli,42M
58,Sam Johnstone,C. Palace,Wolves,11.9M
59,Morato,Benfica,Nottingham,11M
60,Oluwaseun Adewumi,FAC,Burnley,0.4M
61,Eddie Nketiah,Arsenal,C. Palace,29.7M
62,Giovani Lo Celso,Tottenham,Real Betis,5M
63,Manuel Ugarte,PSG,Man Utd,50M
64,Luke McNally,Burnley,Bristol City,1.8M
65,Scott McTominay,Man Utd,Napoli,30.5M
66,Ibane Bowat,Fulham,Portsmouth,0.6M
67,Ethan Sutherland,St. Mirren,Wolves,0.4M
