Name,Age,Team,Price
Erling Haaland,25,Manchester City,€150.4M
Florian Wirtz,22,Liverpool FC,€138.1M
Alexander Isak,26,Liverpool FC,€132.1M
Alexis Mac Allister,26,Liverpool FC,€117M
Declan Rice,26,Arsenal FC,€114.8M
Moisés Caicedo,24,Chelsea,€114.1M
Cole Palmer,23,Chelsea,€111M
Ryan Gravenberch,23,Liverpool FC,€106M
Bukayo Saka,24,Arsenal FC,€97.5M
Rodri,29,Manchester City,€90.5M
Josko Gvardiol,23,Manchester City,€82.2M
Enzo Fernández,24,Chelsea,€81.9M
Dominik Szoboszlai,25,Liverpool FC,€80.2M
Tijjani Reijnders,27,Manchester City,€79.3M
Hugo Ekitiké,23,Liverpool FC,€79.2M
Bruno Guimarães,27,Newcastle United,€78.4M
William Saliba,24,Arsenal FC,€77.2M
Martin Ødegaard,26,Arsenal FC,€76.9M
Xavi Simons,22,Tottenham,€76.7M
Benjamin Šeško,22,Manchester United,€76.1M
Viktor Gyökeres,27,Arsenal FC,€75M
João Pedro,24,Chelsea,€74.7M
Omar Marmoush,26,Manchester City,€74M
Phil Foden,25,Manchester City,€73.8M
Nick Woltemade,23,Newcastle United,€73.8M
Cody Gakpo,26,Liverpool FC,€73.8M
Eberechi Eze,27,Arsenal FC,€73.7M
Estêvão,18,Chelsea,€73.6M
Milos Kerkez,22,Liverpool FC,€68.7M
Jurriën Timber,24,Arsenal FC,€68.1M
Morgan Gibbs-White,25,Nottingham Forest,€67.5M
Carlos Baleba,21,Brighton & Hove Albion,€66.9M
Savinho,21,Manchester City,€66.7M
Morgan Rogers,23,Aston Villa,€66.2M
Jérémy Doku,23,Manchester City,€65.8M
Sandro Tonali,25,Newcastle United,€65.6M
Leny Yoro,19,Manchester United,€65.5M
Murillo,23,Nottingham Forest,€65.2M
Bryan Mbeumo,26,Manchester United,€64.9M
Ollie Watkins,29,Aston Villa,€64.7M
Jamie Gittens,21,Chelsea,€64.4M
Mohammed Kudus,25,Tottenham,€63.9M
Pedro Neto,25,Chelsea,€62.7M
Kobbie Mainoo,20,Manchester United,€62.7M
Lucas Paquetá,28,West Ham United,€62.5M
Kai Havertz,26,Arsenal FC,€62.2M
Adam Wharton,21,Crystal Palace,€62.1M
Piero Hincapié,23,Arsenal FC,€61.8M
Matheus Cunha,26,Manchester United,€61.7M
Elliot Anderson,23,Nottingham Forest,€61.7M
Micky van de Ven,24,Tottenham,€60.4M
Gabriel Magalhães,27,Arsenal FC,€59.3M
Jeremie Frimpong,24,Liverpool FC,€58.8M
Alejandro Garnacho,21,Chelsea,€58.4M
Dejan Kulusevski,25,Tottenham,€57.7M
Rico Lewis,20,Manchester City,€55.9M
Levi Colwill,22,Chelsea,€55.9M
Jorrel Hato,19,Chelsea,€55.6M
Tino Livramento,22,Newcastle United,€55.5M
Rúben Dias,28,Manchester City,€55.4M
Lucas Bergvall,19,Tottenham,€55.2M
Yankuba Minteh,21,Brighton & Hove Albion,€55M
Martín Zubimendi,26,Arsenal FC,€54.4M
Anthony Elanga,23,Newcastle United,€53.4M
Archie Gray,19,Tottenham,€52.8M
Manuel Ugarte,24,Manchester United,€52.6M
Destiny Udogie,22,Tottenham,€52.4M
Mathys Tel,20,Tottenham,€51.4M
Cristian Romero,27,Tottenham,€51.3M
Pedro Porro,26,Tottenham,€51.3M
Gianluigi Donnarumma,26,Manchester City,€51.3M
Antoine Semenyo,25,Bournemouth,€51.1M
Noni Madueke,23,Arsenal FC,€50.5M
Boubacar Kamara,25,Aston Villa,€50.3M
João Gomes,24,Wolverhampton Wanderers,€50.3M
Curtis Jones,24,Liverpool FC,€50.1M
Riccardo Calafiori,23,Arsenal FC,€50.1M
Brennan Johnson,24,Tottenham,€49.4M
Liam Delap,22,Chelsea,€49.4M
Amad Diallo,23,Manchester United,€49.3M
Rayan Aït-Nouri,24,Manchester City,€49.3M
Nico González,23,Manchester City,€48.8M
Amadou Onana,24,Aston Villa,€48.7M
Jörgen Strand Larsen,25,Wolverhampton Wanderers,€48.1M
Jarrod Bowen,28,West Ham United,€47.7M
Bart Verbruggen,23,Brighton & Hove Albion,€47.2M
Anthony Gordon,24,Newcastle United,€47.2M
Matthijs de Ligt,26,Manchester United,€47.2M
Dominic Solanke,28,Tottenham,€46.6M
Andrey Santos,21,Chelsea,€46.4M
Rayan Cherki,22,Manchester City,€46.2M
Abdukodir Khusanov,21,Manchester City,€46.1M
Nikola Milenković,28,Nottingham Forest,€45.9M
Jacob Ramsey,24,Newcastle United,€45.8M
Ethan Nwaneri,18,Arsenal FC,€45.6M
James Maddison,28,Tottenham,€45.5M
Myles Lewis-Skelly,19,Arsenal FC,€45.5M
Marc Guéhi,25,Crystal Palace,€45.2M
Pape Matar Sarr,23,Tottenham,€45.2M
Roméo Lavia,21,Chelsea,€44.9M
Marc Cucurella,27,Chelsea,€44.8M
Habib Diarra,21,Sunderland AFC,€44.7M
Dilane Bakwa,23,Nottingham Forest,€44.3M
Bafodé Diakité,24,Bournemouth,€44.1M
Gabriel Martinelli,24,Arsenal FC,€44.1M
Maxence Lacroix,25,Crystal Palace,€43.9M
Ben White,28,Arsenal FC,€43.9M
Justin Kluivert,26,Bournemouth,€43.3M
Iliman Ndiaye,25,Everton FC,€43.2M
Sven Botman,25,Newcastle United,€43.2M
Reece James,25,Chelsea,€42.5M
Trevoh Chalobah,26,Chelsea,€41.7M
Yéremy Pino,23,Crystal Palace,€41.6M
Georginio Rutter,23,Brighton & Hove Albion,€41.3M
Giorgi Mamardashvili,25,Liverpool FC,€41.3M
Ibrahima Konaté,26,Liverpool FC,€41.3M
Ezri Konsa,28,Aston Villa,€41.1M
Youri Tielemans,28,Aston Villa,€40.9M
Antonee Robinson,28,Fulham FC,€40.9M
Mikel Merino,29,Arsenal FC,€40.5M
Mohamed Salah,33,Liverpool FC,€40.1M
Harvey Barnes,27,Newcastle United,€39.8M
Joelinton,29,Newcastle United,€39.7M
Guglielmo Vicario,29,Tottenham,€39.2M
Harvey Elliott,22,Aston Villa,€39.2M
Kevin Schade,23,Brentford FC,€39M
Brajan Gruda,21,Brighton & Hove Albion,€38.7M
Oscar Bobb,22,Manchester City,€38.6M
André,24,Wolverhampton Wanderers,€38.5M
Ismaïla Sarr,27,Crystal Palace,€38.4M
Jan Paul van Hecke,25,Brighton & Hove Albion,€38.3M
Mikkel Damsgaard,25,Brentford FC,€38.2M
Yasin Ayari,22,Brighton & Hove Albion,€38.2M
